,cuadrante,crime,date,hour,year,month,lat,lon,calle,int
69,P-1.2.8,ROBO A NEGOCIO C.V.,03/01/2016,16:21,2016,1,19.368522,-99.220854,"Olivar del Conde 3a. Sección, Álvaro Obregón, CDMX, 01408, México",1
130,S-1.2.1,ROBO A NEGOCIO C.V.,04/01/2016,22:20,2016,1,19.363545,-99.178608,"Margaritas, Álvaro Obregón, CDMX, 03810, México",1
203,P-1.1.6,ROBO A NEGOCIO C.V.,05/01/2016,09:49,2016,1,19.34164,-99.204331,"Veracruz, Progreso, Álvaro Obregón, CDMX, 01080, México",1
281,P-1.1.9,ROBO A NEGOCIO C.V.,06/01/2016,13:07,2016,1,19.341169,-99.228118,"Segunda Del Moral, Álvaro Obregón, CDMX, 01700, México",1
320,P-1.2.6,ROBO A NEGOCIO C.V.,07/01/2016,11:11,2016,1,19.378611,-99.207308,"Dolores, Barrio Norte, Álvaro Obregón, CDMX, 01410, México",1
390,P-1.2.4,ROBO A NEGOCIO C.V.,08/01/2016,12:54,2016,1,19.386549,-99.219898,"La Venta, Prolongación a Martínez, Álvaro Obregón, CDMX, 01200, México",1
510,P-1.5.4,ROBO A NEGOCIO C.V.,10/01/2016,12:21,2016,1,19.370294,-99.233427,"Puerto Kino, Garcimarrero, Álvaro Obregón, CDMX, 01510, México",1
597,P-1.2.3,ROBO A NEGOCIO C.V.,12/01/2016,20:29,2016,1,19.393511,-99.207395,"Santa Lucía, Molino de Santo Domingo, Álvaro Obregón, CDMX, 01130, México",1
660,P-1.2.4,ROBO A NEGOCIO C.V.,13/01/2016,12:45,2016,1,19.387329,-99.213613,"Brasileños, Mártires de Tacubaya, Álvaro Obregón, CDMX, 01220, México",1
662,P-1.2.3,ROBO A NEGOCIO C.V.,13/01/2016,18:45,2016,1,19.387953,-99.212913,"Uruguayos, María G. de García Cruz, Álvaro Obregón, CDMX, 01160, México",1
665,P-1.1.7,ROBO A NEGOCIO C.V.,13/01/2016,17:44,2016,1,19.327114,-99.268915,"Desierto de los Leones, Alcantarilla, Álvaro Obregón, CDMX, 01729, México",1
667,P-1.1.5,ROBO A NEGOCIO C.V.,13/01/2016,22:11,2016,1,19.357966,-99.208991,"Torrente, Ampliación Los Alpes, Álvaro Obregón, CDMX, 01710, México",1
808,P-1.4.2,ROBO A NEGOCIO C.V.,15/01/2016,17:47,2016,1,19.34903,-99.188165,"Cracovia, Guadalupe Chimalistac, Álvaro Obregón, CDMX, 01050, México",1
910,S-3.1.1,ROBO A NEGOCIO C.V.,16/01/2016,23:37,2016,1,19.320014,-99.220922,"Presa Anzaldo, Lateral Periferico, Progreso, Álvaro Obregón, CDMX, 01080, México",1
927,O-3.6.8,ROBO A NEGOCIO C.V.,16/01/2016,21:30,2016,1,19.25786,-99.018214,"Calle Álvaro Obregón, Las Ánimas, Xochimilco, CDMX, 16739, México",1
931,P-1.2.7,ROBO A NEGOCIO C.V.,17/01/2016,02:25,2016,1,19.376857,-99.19355,"Allori, Santa María Nonoalco, Álvaro Obregón, CDMX, 01420, México",1
987,P-1.2.10,ROBO A NEGOCIO C.V.,18/01/2016,15:07,2016,1,19.364003,-99.218207,"Loma Perpetua, Lomas de Tarango, Álvaro Obregón, CDMX, 01620, México",1
1039,O-3.3.4,ROBO A NEGOCIO C.V.,18/01/2016,16:49,2016,1,19.291225,-99.013112,"Álvaro Obregón, Ojo de Agua, Tláhuac, CDMX, 13450, México",1
1065,P-1.2.3,ROBO A NEGOCIO C.V.,19/01/2016,13:41,2016,1,19.393023,-99.209267,"Santa Clara, La Conchita, Álvaro Obregón, CDMX, 01109, México",1
1129,P-1.5.1,ROBO A NEGOCIO C.V.,20/01/2016,16:31,2016,1,19.378673,-99.246175,"Calle A. Rosales, Gral. Antonio Rosales, Álvaro Obregón, CDMX, 01230, México",1
1214,P-1.4.6,ROBO A NEGOCIO C.V.,21/01/2016,04:16,2016,1,19.337002,-99.19596,"La Otra Banda, Loreto y Campamento, Álvaro Obregón, CDMX, 01090, México",1
1285,P-1.2.9,ROBO A NEGOCIO C.V.,22/01/2016,23:12,2016,1,19.372715,-99.199003,"Av. del Rosal, Molino de Rosas, Álvaro Obregón, CDMX, 01470, México",1
1526,P-1.1.5,ROBO A NEGOCIO C.V.,26/01/2016,03:09,2016,1,19.362058,-99.195631,"Calz. de los Leones, Los Alpes, Álvaro Obregón, CDMX, 01010, México",1
