,cuadrante,crime,date,hour,year,month,lat,lon,calle,int
2,P-1.5.3,ROBO DE VEHICULO AUTOMOTOR S.V.,01/01/2016,22:52,2016,1,19.37388,-99.23428,"Avenida Juchique, Jalalpa Tepito 2a. Ampliación, Álvaro Obregón, CDMX, 01296, México",1
28,P-1.2.2,ROBO DE VEHICULO AUTOMOTOR S.V.,02/01/2016,13:52,2016,1,19.396796,-99.192587,"Canario, Bellavista, Álvaro Obregón, CDMX, 01140, México",1
123,P-1.2.4,ROBO DE VEHICULO AUTOMOTOR S.V.,04/01/2016,09:49,2016,1,19.388022,-99.211757,"Bolivianos, María G. de García Cruz, Álvaro Obregón, CDMX, 01160, México",1
126,P-1.5.7,ROBO DE VEHICULO AUTOMOTOR S.V.,04/01/2016,13:25,2016,1,19.359183,-99.229897,"Calle uno, Herón Proal, Álvaro Obregón, CDMX, 01640, México",1
201,P-1.2.7,ROBO DE VEHICULO AUTOMOTOR S.V.,05/01/2016,11:10,2016,1,19.379882,-99.192248,"Francisco Girardon, Sacramento, Álvaro Obregón, CDMX, 01420, México",1
280,P-1.2.6,ROBO DE VEHICULO AUTOMOTOR S.V.,06/01/2016,00:32,2016,1,19.377218,-99.207998,"Padre Hidalgo, Palmas, Álvaro Obregón, CDMX, 01410, México",1
508,P-1.5.4,ROBO DE VEHICULO AUTOMOTOR S.V.,10/01/2016,20:00,2016,1,19.367049,-99.220224,"Calzada de la Romeria, Mixcoac, Álvaro Obregón, CDMX, 01450, México",1
511,P-1.2.5,ROBO DE VEHICULO AUTOMOTOR S.V.,10/01/2016,22:52,2016,1,19.387843,-99.194027,"San Pedro de los Pinos, Álvaro Obregón, CDMX, 01180, México",1
512,P-1.4.6,ROBO DE VEHICULO AUTOMOTOR S.V.,10/01/2016,23:28,2016,1,19.33932,-99.194352,"Plaza Opción Loreto, Altamirano, Loreto, Álvaro Obregón, CDMX, 01090, México",1
639,S-3.2.3,ROBO DE VEHICULO AUTOMOTOR S.V.,12/01/2016,15:35,2016,1,19.322379,-99.217848,"Lateral Periferico, Progreso, Álvaro Obregón, CDMX, 01080, México",1
661,P-1.2.3,ROBO DE VEHICULO AUTOMOTOR S.V.,13/01/2016,18:18,2016,1,19.393246,-99.207857,"Santa Cruz, Molino de Santo Domingo, Álvaro Obregón, CDMX, 01130, México",1
663,P-1.4.6,ROBO DE VEHICULO AUTOMOTOR S.V.,13/01/2016,11:40,2016,1,19.340303,-99.198009,"Yucatán, Ermita Tizapán, Álvaro Obregón, CDMX, 01089, México",1
666,P-1.1.9,ROBO DE VEHICULO AUTOMOTOR S.V.,13/01/2016,19:41,2016,1,19.341678,-99.227593,"Camino al Desierto de los Leones, La Herradura, Álvaro Obregón, CDMX, 01760, México",1
723,S-3.2.3,ROBO DE VEHICULO AUTOMOTOR S.V.,13/01/2016,20:41,2016,1,19.323214,-99.218629,"Lateral Periferico, Progreso, Álvaro Obregón, CDMX, 01080, México",1
741,P-1.2.7,ROBO DE VEHICULO AUTOMOTOR S.V.,14/01/2016,21:34,2016,1,19.375818,-99.200719,"Rosa Amarilla, Alfalfar, Álvaro Obregón, CDMX, 01470, México",1
790,P-1.1.1,ROBO DE VEHICULO AUTOMOTOR S.V.,14/01/2016,17:07,2016,1,19.324177,-99.284861,"Santa Rosa Xochiac, Álvaro Obregón, CDMX, 01830, México",1
805,P-1.4.6,ROBO DE VEHICULO AUTOMOTOR S.V.,15/01/2016,10:37,2016,1,19.337486,-99.203388,"Yucatán, Ermita Tizapán, Álvaro Obregón, CDMX, 01089, México",1
862,P-3.5.5,ROBO DE VEHICULO AUTOMOTOR S.V.,15/01/2016,01:55,2016,1,19.402511,-99.196497,"5a Cerrada de Observatorio, COVE, Álvaro Obregón, CDMX, 01120, México",1
881,P-1.2.9,ROBO DE VEHICULO AUTOMOTOR S.V.,16/01/2016,06:33,2016,1,19.371463,-99.196392,"Rosa Reina, La Cascada, Álvaro Obregón, CDMX, 01490, México",1
883,P-1.5.4,ROBO DE VEHICULO AUTOMOTOR S.V.,16/01/2016,18:21,2016,1,19.377983,-99.220028,"Lázaro Cárdenas, Desarrollo Urbano El Piru, Álvaro Obregón, CDMX, 01278, México",1
983,P-1.2.8,ROBO DE VEHICULO AUTOMOTOR S.V.,18/01/2016,02:07,2016,1,19.370677,-99.21593,"Calle 24, Olivar del Conde 2a. Sección, Álvaro Obregón, CDMX, 01408, México",1
984,P-1.2.11,ROBO DE VEHICULO AUTOMOTOR S.V.,18/01/2016,22:25,2016,1,19.366161,-99.199091,"Centenario, Sociedad Cooperativa Poder popular, Álvaro Obregón, CDMX, 01600, México",1
988,P-1.4.1,ROBO DE VEHICULO AUTOMOTOR S.V.,18/01/2016,17:35,2016,1,19.351789,-99.192407,"Corregidora; Av. León Felipe, San Ángel Inn, Álvaro Obregón, CDMX, 01060, México",1
1128,P-1.2.11,ROBO DE VEHICULO AUTOMOTOR S.V.,20/01/2016,17:48,2016,1,19.365958,-99.195876,"Churreria La Parroquia, Centenario, Sociedad Cooperativa Poder popular, Álvaro Obregón, CDMX, 01600, México",1
1130,P-1.5.1,ROBO DE VEHICULO AUTOMOTOR S.V.,20/01/2016,18:47,2016,1,19.380961,-99.23615,"Pino, El Árbol, Álvaro Obregón, CDMX, 01250, México",1
1132,P-1.4.11,ROBO DE VEHICULO AUTOMOTOR S.V.,20/01/2016,18:52,2016,1,19.314221,-99.21182,"Sud777, 777, Boulevard de la Luz, Jardines del Pedregal, Álvaro Obregón, CDMX, 01900, México",1
1210,P-1.2.11,ROBO DE VEHICULO AUTOMOTOR S.V.,21/01/2016,19:57,2016,1,19.364543,-99.199021,"Liga Olmeca, 5 de Mayo, Merced Gómez, Álvaro Obregón, CDMX, 01600, México",1
1213,P-1.5.2,ROBO DE VEHICULO AUTOMOTOR S.V.,21/01/2016,10:18,2016,1,19.388079,-99.21578,"Jaltipan, Mártires de Tacubaya, Álvaro Obregón, CDMX, 01220, México",1
1255,O-2.1.14,ROBO DE VEHICULO AUTOMOTOR S.V.,21/01/2016,10:28,2016,1,19.371774,-99.03799,"Ramón Itúrbide, Fraccionamiento Popular Álvaro Obregón, Iztapalapa, CDMX, 09230, México",1
